match_number,team1_score_90,team2_score_90,team1_score_final,team2_score_final,actual_advancing_team,source
73,0,1,,,Canada,https://www.theguardian.com/football/live/2026/jun/28/south-africa-v-canada-world-cup-2026-last-32-live
74,1,1,1,1,Paraguay,https://www.theguardian.com/football/live/2026/jun/29/germany-v-paraguay-world-cup-2026-last-32-live
75,1,1,1,1,Morocco,https://www.theguardian.com/football/live/2026/jun/29/netherlands-v-morocco-world-cup-2026-live
76,2,1,,,Brazil,https://www.theguardian.com/football/live/2026/jun/29/brazil-v-japan-world-cup-2026-last-32-live-updates
77,3,0,,,France,https://www.theguardian.com/football/live/2026/jun/30/france-v-sweden-world-cup-2026-last-32-live
78,1,2,,,Norway,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32
79,2,0,,,Mexico,https://www.theguardian.com/football/live/2026/jul/01/fifa-world-cup-2026-live-mexico-v-ecuador-updates-mex-vs-ecu-last-round-32-match-score-latest
80,2,1,,,England,https://www.theguardian.com/football/live/2026/jul/01/england-v-dr-congo-world-cup-2026-last-32-live
81,2,0,,,USA,https://www.theguardian.com/football/live/2026/jul/01/usa-v-bosnia-and-herzegovina-world-cup-2026-last-32-live
82,2,2,3,2,Belgium,https://www.theguardian.com/football/live/2026/jul/01/belgium-v-senegal-world-cup-last-32-live
83,2,1,,,Portugal,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings
84,3,0,,,Spain,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings
85,2,0,,,Switzerland,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings
86,,,3,2,Argentina,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings
87,1,0,,,Colombia,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings
88,1,1,1,1,Egypt,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings
89,0,1,,,France,https://www.theguardian.com/football/live/2026/jul/04/france-v-paraguay-world-cup-last-32-live
90,0,3,,,Morocco,https://www.theguardian.com/football/live/2026/jul/04/canada-v-morocco-world-cup-2026-last-16-live
