match_number,kickoff_utc,check_after_utc,source,note
73,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,Completed before automated check schedule was added.
74,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,Completed before automated check schedule was added.
75,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,Completed before automated check schedule was added.
76,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,Completed before automated check schedule was added.
77,2026-06-30T21:00:00+00:00,2026-06-30T23:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
78,2026-06-30T17:00:00+00:00,2026-06-30T19:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
79,2026-07-01T01:00:00+00:00,2026-07-01T03:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
80,2026-07-01T16:00:00+00:00,2026-07-01T18:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
81,2026-07-02T00:00:00+00:00,2026-07-02T02:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
82,2026-07-01T20:00:00+00:00,2026-07-01T22:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
83,2026-07-02T23:00:00+00:00,2026-07-03T01:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
84,2026-07-02T19:00:00+00:00,2026-07-02T21:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
85,2026-07-03T03:00:00+00:00,2026-07-03T05:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
86,2026-07-03T22:00:00+00:00,2026-07-04T00:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
87,2026-07-04T01:30:00+00:00,2026-07-04T04:00:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
88,2026-07-03T18:00:00+00:00,2026-07-03T20:30:00+00:00,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32 kickoff time copied as Eastern time and converted to UTC.
93,2026-07-06T19:00:00+00:00,2026-07-06T21:30:00+00:00,https://www.theguardian.com/football/2026/jul/06/how-to-watch-world-cup-usa-belgium-portugal-spain,Portugal vs Spain listed at 3pm ET; result check set to kickoff plus 150 minutes.
94,2026-07-07T00:00:00+00:00,2026-07-07T02:30:00+00:00,https://www.theguardian.com/football/2026/jul/06/how-to-watch-world-cup-usa-belgium-portugal-spain,USA vs Belgium listed at 8pm ET; result check set to kickoff plus 150 minutes.
95,2026-07-07T16:00:00+00:00,2026-07-07T18:30:00+00:00,https://www.sbnation.com/soccer/1121525/2026-world-cup-round-of-16-scores-schedule,Argentina vs Egypt listed in Atlanta at noon; result check set to kickoff plus 150 minutes.
96,2026-07-07T23:00:00+00:00,2026-07-08T01:30:00+00:00,https://www.sbnation.com/soccer/1121525/2026-world-cup-round-of-16-scores-schedule,Switzerland vs Colombia listed in Vancouver at 4pm local; result check set to kickoff plus 150 minutes.
98,2026-07-10T19:00:00+00:00,2026-07-10T21:30:00+00:00,https://nypost.com/2026/07/10/sports/spain-vs-belgium-live-updates-world-cup-2026-score-news-and-highlights/,Spain vs Belgium listed at 3pm ET; result check set to kickoff plus 150 minutes.
99,2026-07-11T21:00:00+00:00,2026-07-11T23:30:00+00:00,https://www.theguardian.com/football/2026/jul/11/how-to-watch-world-cup-england-norway-argentina-switzerland,Norway vs England listed at 5pm ET; result check set to kickoff plus 150 minutes.
100,2026-07-12T01:00:00+00:00,2026-07-12T03:30:00+00:00,https://www.theguardian.com/football/2026/jul/11/how-to-watch-world-cup-england-norway-argentina-switzerland,Argentina vs Switzerland listed at 9pm ET; result check set to kickoff plus 150 minutes.
